GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Display tag library,org.displaytag.portlet,PortletHref,70,513,5,51,18,113,6,45,1,22
Display tag library,org.displaytag.portlet,PortletRequestHelper,5,72,1,7,1,19,1,8,0,5
Display tag library,org.displaytag.portlet,PortletRequestHelperFactory,8,0,0,0,2,0,2,0,2,0
Display tag library,org.displaytag.filter,ResponseOverrideFilter,17,83,7,7,3,21,7,4,1,3
Display tag library,org.displaytag.filter,BufferedResponseWrapper,0,16,0,0,0,1,0,1,0,1
Display tag library,org.displaytag.filter,ExportDelegate,35,135,10,16,8,38,10,5,0,2
Display tag library,org.displaytag.filter,BufferedResponseWrapper13Impl,148,129,30,12,43,34,27,11,7,10
Display tag library,org.displaytag.filter,DisplayTagSpringInterceptor,53,21,6,2,14,8,5,5,1,5
Display tag library,org.displaytag.filter,SimpleServletOutputStream,12,12,0,0,6,3,4,2,4,2
Display tag library,org.displaytag.test,KnownTypes,0,18,0,0,0,6,0,5,0,5
Display tag library,org.displaytag.test,KnownNumberedList,0,24,0,2,0,5,0,3,0,2
Display tag library,org.displaytag.test,KnownValueWithId,4,9,0,0,2,4,1,2,1,2
Display tag library,org.displaytag.test,KnownValue,0,39,0,0,0,12,0,7,0,7
Display tag library,org.displaytag.test,ShuffledNumberedList,0,38,0,0,0,7,0,2,0,2
Display tag library,org.displaytag.test,NumberComparator,18,29,6,2,4,8,4,2,0,2
Display tag library,org.displaytag.test,NumberedItem,11,18,0,0,1,4,1,2,1,2
Display tag library,org.displaytag.export,ExcelView,2,31,1,1,1,9,1,7,0,7
Display tag library,org.displaytag.export,ExportViewFactory,122,114,2,6,22,28,2,7,0,5
Display tag library,org.displaytag.export,CsvView,17,46,2,2,3,12,2,8,0,8
Display tag library,org.displaytag.export,BaseExportView,21,226,8,30,6,69,10,21,2,10
Display tag library,org.displaytag.export,FopExportView,186,168,6,4,33,46,5,9,1,8
Display tag library,org.displaytag.export,XmlTotalsWriter.new TableDecorator() {...},0,5,0,0,0,2,0,2,0,2
Display tag library,org.displaytag.export,DefaultItextExportView,8,49,0,0,3,13,1,3,1,3
Display tag library,org.displaytag.export,DefaultItextExportView.ItextGenerationException,13,0,0,0,4,0,2,0,2,0
Display tag library,org.displaytag.export,XmlView,0,25,0,0,0,11,0,11,0,11
Display tag library,org.displaytag.export,PdfView,211,0,12,0,58,0,15,0,9,0
Display tag library,org.displaytag.export,DefaultPdfExportView.PageNumber,1,96,0,0,1,19,0,1,0,1
Display tag library,org.displaytag.export,PdfView.new PdfPageEventHelper() {...},30,0,0,0,5,0,2,0,2,0
Display tag library,org.displaytag.export,DefaultPdfExportView,0,14,0,0,0,4,0,3,0,3
Display tag library,org.displaytag.export,PdfView.PdfGenerationException,9,0,0,0,3,0,2,0,2,0
Display tag library,org.displaytag.export,XmlTotalsWriter,16,458,4,26,5,110,5,33,1,22
Display tag library,org.displaytag.render,TableWriterAdapter,12,12,0,0,12,10,12,10,12,10
Display tag library,org.displaytag.render,HssfTableWriter,217,619,16,56,47,155,19,47,7,23
Display tag library,org.displaytag.render,HtmlTableWriter,55,848,19,89,10,211,18,71,0,35
Display tag library,org.displaytag.render,TableTotaler,31,284,6,20,6,69,6,23,0,16
Display tag library,org.displaytag.render,TableWriterTemplate,74,594,14,98,8,154,14,50,0,7
Display tag library,org.displaytag.render,ItextTableWriter,124,219,4,6,27,56,14,19,10,18
Display tag library,org.displaytag.render,TableWriterTemplate.CellStruct,0,9,0,0,0,4,0,1,0,1
Display tag library,org.displaytag.decorator,MessageFormatColumnDecorator,4,51,1,1,1,11,2,3,1,3
Display tag library,org.displaytag.decorator,MultilevelTotalTableDecorator,148,605,22,46,35,150,28,37,8,23
Display tag library,org.displaytag.decorator,EscapeXmlColumnDecorator,6,18,4,2,1,4,3,3,0,3
Display tag library,org.displaytag.decorator,TotalTableDecorator,127,258,21,23,22,59,18,12,2,6
Display tag library,org.displaytag.decorator,DefaultDecoratorFactory,30,63,3,7,7,17,3,7,0,5
Display tag library,org.displaytag.decorator,MultilevelTotalTableDecorator.GroupTotals,21,188,1,9,7,35,4,10,3,6
Display tag library,org.displaytag.decorator,ModelDecorator,0,5,0,0,0,2,0,2,0,2
Display tag library,org.displaytag.decorator,AutolinkColumnDecorator,10,249,3,25,4,53,3,14,0,3
Display tag library,org.displaytag.decorator,CheckboxTableDecorator,70,72,5,3,18,19,6,4,2,4
Display tag library,org.displaytag.decorator,TableDecorator,12,62,4,2,5,21,3,15,1,14
Display tag library,org.displaytag.decorator,Decorator,9,128,2,14,3,33,3,14,1,8
Display tag library,org.displaytag.export.excel,ExcelHssfView,120,286,12,20,26,82,18,21,7,16
Display tag library,org.displaytag.export.excel,HssfDoubleExportView,6,62,0,6,2,19,0,5,0,2
Display tag library,org.displaytag.export.excel,ExcelUtils,15,137,2,2,5,33,4,7,2,7
Display tag library,org.displaytag.export.excel,DefaultHssfExportView.HssfGenerationException,9,0,0,0,3,0,2,0,2,0
Display tag library,org.displaytag.export.excel,DefaultHssfExportView,26,12,0,0,9,4,2,3,2,3
Display tag library,org.displaytag.export.excel,ExcelUtils.CellFormatTypes,21,0,0,0,4,0,1,0,1,0
Display tag library,org.displaytag.export.excel,ExcelUtils.ExcelGenerationException,9,0,0,0,3,0,2,0,2,0
Display tag library,org.displaytag.properties,TableProperties,279,692,28,52,67,178,30,84,4,70
Display tag library,org.displaytag.properties,SortOrderEnum,25,99,2,10,6,19,6,12,4,8
Display tag library,org.displaytag.properties,MediaTypeEnum,8,138,1,13,3,33,3,18,2,12
Display tag library,org.displaytag.tags,ColumnTag,237,758,15,65,44,210,16,64,3,37
Display tag library,org.displaytag.tags,TableFooterTag,38,71,7,11,11,22,10,7,3,5
Display tag library,org.displaytag.tags,CaptionTag,28,166,6,12,8,49,8,16,2,13
Display tag library,org.displaytag.tags,TableTagExtraInfo,0,313,2,18,0,19,2,12,0,4
Display tag library,org.displaytag.tags,TableTag,258,1748,62,226,47,430,65,140,5,56
Display tag library,org.displaytag.tags,TableTagBeanInfo,15,327,0,0,3,36,0,2,0,2
